OBJECT_TYPE, OBJECT_NAME, COLUMN_NAME
'Preserved Table', 'ARPB_TX_E_PMT', '-'
'Preserved Table', 'CT_CHART_HIST', '-'
'Preserved Table', 'DM_PED_ADHD', '-'
'Preserved Table', 'MDS_RECS', '-'
'Preserved Table', 'ROI_TEMPLT_INFO_RL', '-'
'Preserved Table', 'ROI_TEMPLT_INFO_RQ', '-'
'Deprecated Table', 'COVERAGE_CREATION', '-'
'Deprecated Table', 'COVERAGE_NOTES', '-'
'Deprecated Table', 'CVG_PRO_RATION', '-'
'Deprecated Table', 'HM_PLANS_LIST', '-'
'Deprecated Table', 'ORGAN_DNR_COD', '-'
'Deprecated Table', 'ORGAN_DNR_DEM', '-'
'Deprecated Table', 'ORGAN_DNR_PROBLEM', '-'
'Deprecated Table', 'ORGAN_DNR_RACE', '-'
'Deprecated Table', 'ORGAN_DNR_SEROLOGY', '-'
'Deprecated Table', 'ORGAN_DNR_TISSUE', '-'
'Deprecated Table', 'SUM_FACTS_INFO', '-'
'Deprecated Table', 'SUM_FACTS_INFO_2', '-'
'Deprecated Table', 'SUM_FACTS_INFO_3', '-'
'Deprecated Table', 'ZC_ENC_REP_TYPE', '-'
'Preserved Column', 'ACCESS_ALL_DEPS', 'DEPARTMENT_ID'
'Preserved Column', 'ACCESS_DEP', 'DEPARTMENT_ID'
'Preserved Column', 'ACCESS_PROV', 'DEPARTMENT_ID'
'Preserved Column', 'ACCOUNT_2', 'ASSOC_DEPT_ID'
'Preserved Column', 'ACCOUNT_2', 'PROPENSITY_TO_PAY_C'
'Preserved Column', 'ACC_CONFIG_DEPT', 'DEPARTMENT_ID'
'Preserved Column', 'ACUITY_OVERTIME_SETTINGS', 'REPORT_DEPT_ID'
'Preserved Column', 'ACUITY_SCORE_SPECIFIC', 'PAT_DEPT_ID'
'Preserved Column', 'ALT_PUMP_ORDER_DET', 'IPO_DEP_ID'
'Preserved Column', 'ARPB_TRANSACTIONS', 'DEPARTMENT_ID'
'Preserved Column', 'ARPB_TRANSACTIONS2', 'POSTING_DEPARTMENT_ID'
'Preserved Column', 'ARPB_TX_ACTIONS', 'DEPARTMENT_ID'
'Preserved Column', 'AVAILABILITY', 'DEPARTMENT_ID'
'Preserved Column', 'AVAIL_BLOCK', 'DEPARTMENT_ID'
'Preserved Column', 'AVAIL_COUNTS', 'DEPARTMENT_ID'
'Preserved Column', 'BDC_INFO', 'SOURCE_DEPT_ID'
'Preserved Column', 'BED_PLAN_HX', 'DEPARTMENT_ID'
'Preserved Column', 'BED_PLAN_HX', 'RESP_DEPT_ID'
'Preserved Column', 'BED_PLAN_HX', 'RESP_UNIT_ID'
'Preserved Column', 'BEREAVED_INFO', 'UNLINK_DEPT_ID'
'Preserved Column', 'CACHED_USER_TYPE', 'DEPARTMENT_ID'
'Preserved Column', 'CAL_COMM_TRACKING', 'CONTACT_LOGIN_DEPARTMENT_ID'
'Preserved Column', 'CAL_REFERENCE_PAT', 'REF_DEPT_ID'
'Preserved Column', 'CASHDWR_CLOSE_INFO', 'DEPARTMENT_ID'
'Preserved Column', 'CEID_QUERY_AUDIT', 'QUERY_LOGIN_DEP_ID'
'Preserved Column', 'CLARITY_ADT', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP_2', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP_3', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP_4', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP_4', 'PAS_SIB_UNIT_ID'
'Preserved Column', 'CLARITY_DEP_ADDR', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_DEP_OVRTM', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_EAP_ALTREV', 'RC_BY_DEPT_ID'
'Preserved Column', 'CLARITY_EMP', 'AR_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_EMP', 'CAD1_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_EMP', 'HB_DFLT_LGN_DEP_ID'
'Preserved Column', 'CLARITY_EMP', 'LGIN_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_EMP', 'MC_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_EMP', 'MR_LOGON_DEPT_ID'
'Preserved Column', 'CLARITY_EMP_2', 'LAST_LOGIN_DEPT_ID'
'Preserved Column', 'CLARITY_EMP_CLASS', 'CLASSES_C'
'Preserved Column', 'CLARITY_LOC', 'CC_DEP_SEL_PPT_ID'
'Preserved Column', 'CLARITY_LOC', 'CHILD_ORDER_DEPT_ID'
'Preserved Column', 'CLARITY_LOC', 'DEFAULT_DEPT_ID'
'Preserved Column', 'CLARITY_LPT_DEPTS', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_LWS', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_LWS', 'KIOSK_ED_DEP_ID'
'Preserved Column', 'CLARITY_LWS', 'PRIM_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_LWS_2', 'CLIPBOARD_DEP_ID'
'Preserved Column', 'CLARITY_LWS_2', 'KI_PAY_POST_DEP_ID'
'Preserved Column', 'CLARITY_PRC', 'VTMOD_DEPT_ID'
'Preserved Column', 'CLARITY_ROM', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_SER', 'DEF_DEPARTMENT_ID'
'Preserved Column', 'CLARITY_SER', 'REVENUE_DEPT_ID'
'Preserved Column', 'CLARITY_SER_2', 'PRIMARY_DEPT_ID'
'Preserved Column', 'CLARITY_SER_DEPT', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_TDL_AGE', 'DEPT_ID'
'Preserved Column', 'CLARITY_TDL_TRAN', 'DEPT_ID'
'Preserved Column', 'CLARITY_UCL', 'COST_CNTR_DEPT_ID'
'Preserved Column', 'CLARITY_UCL', 'DEPARTMENT_ID'
'Preserved Column', 'CLARITY_UCL_2', 'CREATED_DEPT_ID'
'Preserved Column', 'CLM_EDIT_WQ_DETAIL', 'DEPARTMENT_ID'
'Preserved Column', 'CL_DEP_ID', 'DEPARTMENT_ID'
'Preserved Column', 'CL_DEP_ID_HX', 'DEPARTMENT_ID'
'Preserved Column', 'CL_DEP_PROD_TRK', 'DEPARTMENT_ID'
'Preserved Column', 'CL_EMP_AUTH_DEPTS', 'AUTH_DEPT_ID'
'Preserved Column', 'CL_EMP_CAD_DEP', 'CAD_DEPT_ID'
'Preserved Column', 'CL_LGL_LIMITED_BY', 'DEPARTMENT_ID'
'Preserved Column', 'CL_OTL', 'ADMIT_DEPT_ID'
'Preserved Column', 'CL_OTL', 'DEPT_REF_TO_ID'
'Preserved Column', 'CL_OTL', 'PERFORMING_DEPT_ID'
'Preserved Column', 'CL_OTL_1', 'PROC_PERF_DEPT_ID'
'Preserved Column', 'CL_OTL_1', 'TRANS_DEPT_ID'
'Preserved Column', 'CL_PLF', 'DEPARTMENT_ID'
'Preserved Column', 'CL_PROV_PIN_INS_FL', 'DEPARTMENT_ID'
'Preserved Column', 'CMGMT_EPISODE_HX', 'ASSOC_CMGMT_DEPARTMENT_ID'
'Preserved Column', 'CRE_INFO', 'DEPARTMENT_ID'
'Preserved Column', 'CT_CHART_HIST', 'DEPARTMENT_ID'
'Preserved Column', 'CT_STATION', 'ROI_DEST_DEPT_ID'
'Preserved Column', 'CT_STATISTICS', 'DEPARTMENT_ID'
'Preserved Column', 'CUST_SERVICE', 'ENTRY_DEPARTMENT_ID'
'Preserved Column', 'CUST_SERVICE', 'SUB_DEPT_ID'
'Preserved Column', 'CUST_SERV_ATCHMENT', 'ATCHMENT_DEP_ID'
'Preserved Column', 'DEPARTMENT_HOLIDAY', 'DEPARTMENT_ID'
'Preserved Column', 'DEP_BILL_AREA_REPL', 'DEPARTMENT_ID'
'Preserved Column', 'DEP_TIMES', 'DEPARTMENT_ID'
'Preserved Column', 'DEVICE_INFO', 'DEPARTMENT_ID'
'Preserved Column', 'DFI_DETAILS', 'DEPARTMENT_ID'
'Preserved Column', 'DISMISS_EXCEPTION', 'DISMISS_EXC_DEP_ID'
'Preserved Column', 'DM_ANESTHESIA', 'DEPARTMENT_ID'
'Preserved Column', 'DM_CANCER_PROBLEM', 'LAST_OFFICE_VIS_DEPT_FOR_PROB'
'Preserved Column', 'DM_CANCER_PROBLEM', 'RAD_ONC_TX_DEPT_ID'
'Preserved Column', 'DM_CANCER_PROBLEM_HX', 'LAST_OFFICE_VIS_DEPT_FOR_PROB'
'Preserved Column', 'DM_CANCER_PROBLEM_HX', 'RAD_ONC_TX_DEPT_ID'
'Preserved Column', 'DM_CASE_MGMT', 'DEPARTMENT_ID'
'Preserved Column', 'DM_CASE_MGMT', 'UR_DEPT_ID'
