table_name,ingest_tag,size_tag
access_prov_base,null,XL
account_base,null,M
account_2_base,null,M
account_contact_base,null,M
account_fpl_info_base,null,XS
account_status_base,null,XS
acct_addr_base,null,M
acct_addr addr1_base,null,null
acct_addr addr2_base,null,null
acct_alias_base,null,XS
acct_coverage_base,null,M
acct_guar_pat_info_base,null,M
acct_pp_har_list_base,null,M
addl_managers_base,null,XS
adm_dx_acted_base,null,null
agncy_hst_dt_of_ch_base,null,null
allergy_base,Allergies,S
allergy_flag_base,Allergies,S
allergy_hx_base,Allergies,S
allergy_reactions_base,Allergies,S
all_episode_csn_links_base,null,L
an_hsb_link_info_base,null,S
appt_complete_stat_base,Appointments,XS
appt_request_base,Appointments,M
ap_case_types_base,Revenue,XS
ap_claim_dx_base,Revenue,M
ap_specimen_desc_base,Labs,M
arpb_aging_history_base,null,XL
arpb_rsh_chgrev_hx_base,null,XS
arpb_rsh_chgrev_hx_repl_base,null,XS
arpb_rsh_chgrev_qlfy_hx_base,null,XS
arpb_transactions_base,Revenue,L
arpb_transactions2_base,null,L
arpb_tx_actions_base,null,L
arpb_tx_coll_ratio_base,null,M
arpb_tx_edit_hx_base,null,M
arpb_tx_e_pmt_base,null,M
arpb_tx_gl_base,null,XL
arpb_tx_match_hx_base,null,XL
arpb_tx_moderate_base,null,L
arpb_tx_modifiers_base,null,M
arpb_tx_refund_base,null,S
arpb_tx_void_base,null,M
associated_referrals_base,Referrals,M
audit_itm_bed_base,null,XS
availability_base,Appointments,XL
avail_block_base,null,M
bdc_info_base,null,M
bdc_rac_appeal_info_base,null,M
bed_block_base,null,XS
bed_plan_hx_base,ADT,M
bill_area_base,Revenue,XS
block_base,null,XS
bundle_charge_main_base,null,M
claim_edit_wq_base,null,XS
claim_stmnt_date_base,null,M
clarity_adt_base,ADT,M
clarity_bed_base,ADT,XS
clarity_col_base,null,XS
clarity_component_base,Labs,XS
clarity_dep_base,Encounters,XS
clarity_dep_2_base,Encounters,XS
clarity_dep_3_base,null,XS
clarity_dep_addr_base,Encounters,XS
clarity_drg_base,Encounters,XS
clarity_drg_mpi_id_base,Encounters,XS
clarity_eaf_tin_base,null,XS
clarity_eap_base,Orders,XS
clarity_eap_2_base,Orders,XS
clarity_eap_altcod_base,null,XS
clarity_eap_altrev_base,null,XS
clarity_eap_cms_base,null,XS
clarity_eap_ot_base,Orders,XS
clarity_edg_base,Encounters,S
clarity_eep_base,null,null
clarity_emp_base,Patients,XS
clarity_epm_base,Patients,XS
clarity_epm_2_base,null,XS
clarity_epp_base,Patients,XS
clarity_epp_2_base,null,XS
clarity_fc_base,Patients,XS
clarity_fsc_base,null,XS
clarity_fsc_proc_base,null,M
clarity_immunzatn_base,Patients,XS
clarity_loc_base,Encounters,XS
clarity_loc_2_base,Encounters,XS
clarity_lws_base,Encounters,XS
clarity_medication_base,Meds,XS
clarity_mod_base,Revenue,XS
clarity_organism_base,Labs,XS
clarity_pos_base,Encounters,XS
clarity_prc_base,Appointments,XS
clarity_prc_2_base,Appointments,XS
clarity_rmc_base,null,XS
clarity_rom_base,ADT,XS
clarity_rsh_base,null,XS
clarity_sa_base,Encounters,XS
clarity_ser_base,Providers,XS
clarity_ser_2_base,Providers,XS
clarity_ser_addr_base,Providers,XS
clarity_ser_dept_base,Providers,XS
clarity_ser_netaff_base,null,XS
clarity_ser_spec_base,Providers,XS
clarity_tbl_base,null,XS
clarity_tbl_2_base,null,XS
clarity_tbl_cols_base,null,XS
clarity_tbl_fk_all_base,null,S
clarity_tbl_pk_base,null,XS
clarity_tdl_age_base,null,L
clarity_tdl_tran_base,null,XL
clarity_ucl_base,null,L
clarity_ucl_2_base,null,L
clm_dx_base,null,L
clm_edit_wq_clm_base,null,M
clm_edit_wq_detail_base,null,M
clm_edit_wq_error_base,null,M
clm_edit_wq_status_base,null,L
clm_values_base,null,M
clm_val_audit_trail_base,null,M
cl_bev_all_base,ADT,S
cl_bev_esc_audit_base,ADT,S
cl_bev_events_all_base,ADT,M
cl_bev_isolations_base,ADT,XS
cl_cmp_ot_incl_ranges_base,null,S
cl_col_agncy_base,Revenue,XS
cl_cost_cntr_base,null,XS
cl_eaf_id_base,null,XS
cl_elg_base,Allergies,XS
cl_icd_px_base,Orders,XS
cl_remit_base,null,M
cl_rmt_clm_info_base,null,M
cl_rmt_hc_rmk_code_base,null,M
cl_rmt_svce_ln_inf_base,null,L
cl_rmt_svc_dat_inf_base,null,L
cl_rmt_svc_lvl_adj_base,null,L
cl_rsn_for_visit_base,Encounters,XS
cl_tsk_cln_stages_base,ADT,XS
cl_ub_rev_code_base,Revenue,XS
code_int_code_info_ln_base,null,S
code_int_code_info_quan_base,null,S
code_int_comb_ln_base,Revenue,M
coverage_base,Coverages,M
coverage_2_base,null,M
coverage_4_base,null,M
coverage_member_list_base,Coverages,M
coverage_mem_list_base,null,XS
coverage_mem_list_repl_base,null,M
criteria_review_base,null,S
cvg_subscr_addr_base,null,M
date_dimension_base,Patients,XS
dep_bill_area_base,null,XS
dep_bill_area_eff_dates_base,null,XS
dep_bill_area_repl_base,null,XS
dfi_audit_trail_base,null,L
dfi_details_base,null,M
diagnosis_grp_base,null,XS
discharge_disposition_map_base,ADT,XS
dm_case_mgmt_base,null,S
docs_rcvd_base,Documents,M
docs_rcvd_dx_base,Documents,L
drg_code_set_types_base,null,XS
drg_description_base,null,XS
d_prov_primary_hierarchy_base,null,XS
eaf_cost_cntr_asgn_base,null,XS
eap_assoc_cost_ctr_base,null,XS
eap_gl_table_info_base,null,XS
edg_code_mapping_base,Diagnosis,S
edg_code_map_data_base,Diagnosis,S
edg_current_icd10_base,null,S
edg_current_icd9_base,null,S
edg_description_base,null,XS
edp_film_data_base,null,null
edp_proc_cat_info_base,Procedures,XS
ed_care_area_info_base,ED,XS
ed_care_area_room_base,ED,XS
ed_disp_events_base,ED,XS
ed_event_tmpl_info_base,ED,XS
ed_iev_event_info_base,ED,XL
ed_iev_pat_info_base,ED,L
ed_lab_status_base,null,S
ed_pat_status_base,null,L
ed_rad_status_base,null,M
ed_room_info_base,ED,XS
emergency_contacts_base,null,null
empr_address_base,null,S
facility_irs_num_base,null,XS
facility_profile_base,Encounters,XS
fee_schedule_base,null,XS
fin_asst_case_base,null,XS
fin_asst_case_assoc_pat_base,null,XS
fin_asst_case_flag_base,null,XS
fin_asst_letter_base,null,XS
fin_asst_program_base,null,XS
fin_asst_tracker_base,null,XS
fin_asst_trkr_update_hx_base,null,XS
fol_history_base,null,XL
fol_info_base,null,M
fol_wq_base,null,XS
f_adt_bed_request_times_base,ADT,S
f_ed_encounters_base,ED,S
f_img_study_base,Orders,M
f_ip_hsp_pat_days_base,null,M
f_log_based_base,Surgery,M
f_rx_dispense_base,Meds,M
f_rx_order_base,Meds,M
f_sched_appt_base,Appointments,M
f_sched_appt_stats_base,Appointments,M
grouper_compiled_rec_list_base,null,M
guar_empr_address_base,null,S
